url,price,rooms,area,postal_code,locality,property_type,sub_property_type,facades,building_state,furnished,open_fire,kitchen_type,terrace,terrace_surface,garden,garden_surface,swimming_pool,land_surface
https://www.immoweb.be/fr/annonce/appartement/a-vendre/veurne/8630/20644223,239000,2,100,8630,Veurne,Apartment,Appartement,3,,0,,,,,,,,100
https://www.immoweb.be/fr/annonce/immeuble-mixte/a-vendre/tielt/8700/20829278,249000,1,162,8700,Tielt,House,Immeuble mixte,2,,0,,,,,1,65,,447
https://www.immoweb.be/fr/annonce/maison/a-vendre/la-louviere/7110/20829274,225000,3,160,7110,La louvière,House,Maison,3,Bon,,,Equipée,,,1,200,0,540
https://www.immoweb.be/fr/annonce/maison/a-vendre/edegem/2650/20829273,414000,3,,2650,Edegem,House,Maison,3,À rénover,,,,,,,,0,670
https://www.immoweb.be/fr/annonce/immeuble-a-appartements/a-vendre/fleurus/6220/20771086,280000,6,238,6220,Fleurus,House,Immeuble à appartements,2,Bon,,,Semi-équipée,,54,,,,408
https://www.immoweb.be/fr/annonce/maison/a-vendre/oleye/4300/20829272,320000,3,118,4300,Oleye,House,Maison,3,,0,,Equipée,,,1,1950,,2358
https://www.immoweb.be/fr/annonce/maison/a-vendre/antwerpen/2610/20829270,495000,5,255,2610,Antwerpen,House,Maison,3,À rafraîchir,,,,,,,,,750
https://www.immoweb.be/fr/annonce/maison/a-vendre/chatelineau/6200/20829268,195000,3,144,6200,Châtelineau,House,Maison,2,Bon,,,,1,,,,,634
https://www.immoweb.be/fr/annonce/appartement/a-vendre/libramont-chevigny/6800/20829266,155000,2,79,6800,Libramont-chevigny,Apartment,Appartement,,Bon,0,,Equipée,,,,,0,79
https://www.immoweb.be/fr/annonce/maison/a-vendre/waterloo/1410/20829265,625000,3,150,1410,Waterloo,House,Maison,4,Bon,,,,,,1,1,0,1328
https://www.immoweb.be/fr/annonce/maison/a-vendre/bonheiden/2820/20829263,899000,5,340,2820,Bonheiden,House,Maison,4,,,,Equipée,1,,,,,1175
https://www.immoweb.be/fr/annonce/appartement/a-vendre/uccle/1180/20829262,265000,2,,1180,Uccle,Apartment,Appartement,2,Bon,,,,,1,,,0,0
https://www.immoweb.be/fr/annonce/appartement/a-vendre/ressaix/7134/20829260,130000,2,82,7134,Ressaix,Apartment,Appartement,,Bon,,,,,,,,,82
https://www.immoweb.be/fr/annonce/appartement/a-vendre/ixelles/1050/20829259,325000,1,70,1050,Ixelles,Apartment,Appartement,,Fraîchement rénové,,,,,,,,,70
https://www.immoweb.be/fr/annonce/maison/a-vendre/antwerpen/2100/20829258,349000,2,,2100,Antwerpen,House,Maison,1,Excellent état,,,Equipée,,,1,25,0,100
https://www.immoweb.be/fr/annonce/maison/a-vendre/fayt-lez-manage/7170/20829255,75000,3,,7170,Fayt-lez-manage,House,Maison,,À rénover,,,,,,,,,0
https://www.immoweb.be/fr/annonce/maison/a-vendre/onoz/5190/20829253,250000,3,143,5190,Onoz,House,Maison,4,À rénover,,,Semi-équipée,,10,,,,968
https://www.immoweb.be/fr/annonce/maison/a-vendre/biesme/5640/20829254,299000,4,275,5640,Biesme,House,Maison,4,À rafraîchir,,,Equipée,,25,,,,855
https://www.immoweb.be/fr/annonce/appartement/a-vendre/berchem-sainte-agathe/1082/20829249,330000,2,90,1082,Berchem-sainte-agathe,Apartment,Appartement,2,Excellent état,,,Equipée,,27,,,0,90
https://www.immoweb.be/fr/annonce/appartement/a-vendre/anderlecht/1070/20829247,346500,3,101,1070,Anderlecht,Apartment,Appartement,3,Excellent état,,,Equipée,,7,,,0,101
https://www.immoweb.be/fr/annonce/duplex/a-vendre/anderlecht/1070/20829246,406500,2,115,1070,Anderlecht,Apartment,Duplex,3,Excellent état,,,Equipée,,28,,,0,115
https://www.immoweb.be/fr/annonce/projet-neuf-appartements/a-vendre/anderlecht/1070/20829236,346500,2 - 3 Chambres 2 - 3,101 - 115,1070,Anderlecht,Apartment,LES PENTHOUSES DE MARCHANDISES,,,,,,,,,,,0
https://www.immoweb.be/fr/annonce/appartement/a-vendre/liege/4000/20829235,219000,1,63,4000,Liège,Apartment,Appartement,,Excellent état,0,,Equipée,,9,,,0,63
https://www.immoweb.be/fr/annonce/loft/a-vendre/verviers/4800/20746692,240000,2,312,4800,Verviers,Apartment,Loft,3,Bon,0,,Equipée,,,,,0,312
https://www.immoweb.be/fr/annonce/maison/a-vendre/lens/7870/20826521,395000,,230,7870,Lens,House,Maison,4,,,,,,,1,1,,3510
https://www.immoweb.be/fr/annonce/appartement/a-vendre/knokke-heist/8300/20524427,1875000,3,104,8300,Knokke-heist,Apartment,Appartement,2,Excellent état,0,,Equipée,,,,,0,104
https://www.immoweb.be/fr/annonce/appartement/a-vendre/geraardsbergen/9500/20829233,135000,1,61,9500,Geraardsbergen,Apartment,Appartement,2,À rénover,0,,Equipée,,,,,,61
